,time,open,high,low,close,tick_volume,spread,real_volume
0,2004-01-01 00:00:00,1.2591999999999999,1.2597,1.259,1.2597,9,40,0
1,2004-01-01 04:00:00,1.2596,1.2599,1.2581,1.2597,75,40,0
2,2004-01-01 08:00:00,1.2599,1.2599,1.2587,1.2597,49,40,0
3,2004-01-01 12:00:00,1.2599,1.2606,1.2583,1.2596,30,40,0
4,2004-01-01 16:00:00,1.2599,1.2606,1.2538,1.2544,228,40,0
5,2004-01-01 20:00:00,1.2545,1.2567,1.2533,1.2565,733,40,0
6,2004-01-02 00:00:00,1.2570000000000001,1.2598,1.2523,1.2527,1398,40,0
7,2004-01-02 04:00:00,1.2530000000000001,1.2576,1.2528000000000001,1.2572,1440,40,0
8,2004-01-02 08:00:00,1.2572999999999999,1.2631000000000001,1.2555,1.262,1980,40,0
9,2004-01-02 12:00:00,1.2619,1.2625,1.2572,1.2615,1977,40,0
10,2004-01-02 16:00:00,1.2617,1.2618,1.2563,1.2594,1875,40,0
11,2004-01-02 20:00:00,1.2596,1.2602,1.258,1.2596,1082,40,0
12,2004-01-05 00:00:00,1.2609,1.2674,1.2608,1.2655,1728,40,0
13,2004-01-05 04:00:00,1.2654,1.2673,1.2651,1.2666,1553,40,0
14,2004-01-05 08:00:00,1.2666,1.2698,1.2631999999999999,1.2669000000000001,2097,40,0
15,2004-01-05 12:00:00,1.2666,1.2692,1.2642,1.267,2137,40,0
16,2004-01-05 16:00:00,1.2668,1.2690000000000001,1.2651,1.2667,1978,40,0
17,2004-01-05 20:00:00,1.2668,1.2691,1.2652999999999999,1.2677,1550,40,0
18,2004-01-06 00:00:00,1.2677,1.2692999999999999,1.2667,1.2686,1493,40,0
19,2004-01-06 04:00:00,1.2682,1.2715,1.2673,1.2704,1363,40,0
20,2004-01-06 08:00:00,1.2708,1.2759,1.2697,1.2747,2038,40,0
21,2004-01-06 12:00:00,1.2746,1.2814,1.2741,1.2771,2241,40,0
22,2004-01-06 16:00:00,1.2770000000000001,1.2796,1.274,1.2766,2093,40,0
23,2004-01-06 20:00:00,1.2764,1.2774,1.2723,1.2728,1589,40,0
24,2004-01-07 00:00:00,1.2727,1.2738,1.2687,1.2708,1542,40,0
25,2004-01-07 04:00:00,1.2708,1.2734,1.2704,1.2724,1432,40,0
26,2004-01-07 08:00:00,1.2725,1.2747,1.2648,1.2669000000000001,2153,40,0
27,2004-01-07 12:00:00,1.2667,1.2706,1.2657,1.2683,2052,40,0
28,2004-01-07 16:00:00,1.2684,1.27,1.2652,1.2654,1998,40,0
29,2004-01-07 20:00:00,1.2654,1.2663,1.2621,1.2628,1819,40,0
30,2004-01-08 00:00:00,1.2631999999999999,1.2659,1.2582,1.259,1862,40,0
31,2004-01-08 04:00:00,1.259,1.2618,1.258,1.2612,1573,40,0
32,2004-01-08 08:00:00,1.2612999999999999,1.2617,1.256,1.2584,2023,40,0
33,2004-01-08 12:00:00,1.2583,1.2751000000000001,1.2570999999999999,1.2726,2314,40,0
34,2004-01-08 16:00:00,1.2724,1.2786,1.2707,1.276,2126,40,0
35,2004-01-08 20:00:00,1.2759,1.278,1.2747,1.2776,1564,40,0
36,2004-01-09 00:00:00,1.2778,1.2788,1.2756,1.2763,1364,40,0
37,2004-01-09 04:00:00,1.2762,1.2770000000000001,1.2711000000000001,1.2736,1553,40,0
38,2004-01-09 08:00:00,1.2732999999999999,1.2756,1.2703,1.2745,2203,40,0
39,2004-01-09 12:00:00,1.2747,1.2854,1.2726,1.2833999999999999,2483,40,0
40,2004-01-09 16:00:00,1.2827,1.287,1.2811,1.2843,2103,40,0
41,2004-01-09 20:00:00,1.2845,1.2852999999999999,1.2812999999999999,1.282,1409,40,0
42,2004-01-12 00:00:00,1.2842,1.2859,1.2827,1.2838,1323,40,0
43,2004-01-12 04:00:00,1.2838,1.2854,1.2833,1.2845,1240,40,0
44,2004-01-12 08:00:00,1.2846,1.2901,1.2837,1.2878,2165,40,0
45,2004-01-12 12:00:00,1.2875,1.2882,1.2766,1.2803,2312,40,0
46,2004-01-12 16:00:00,1.2802,1.2818,1.2755,1.2755,2175,40,0
47,2004-01-12 20:00:00,1.2756,1.2771,1.2735,1.2738,1773,40,0
48,2004-01-13 00:00:00,1.274,1.2765,1.2715,1.2755,1701,40,0
49,2004-01-13 04:00:00,1.2756,1.2772999999999999,1.2749,1.276,1612,40,0
50,2004-01-13 08:00:00,1.2759,1.28,1.2732,1.2746,2094,40,0
51,2004-01-13 12:00:00,1.2746,1.2784,1.2719,1.2772999999999999,2258,40,0
52,2004-01-13 16:00:00,1.2772999999999999,1.2793,1.2711999999999999,1.2752,2218,40,0
53,2004-01-13 20:00:00,1.2752,1.2779,1.2732999999999999,1.2771,1780,40,0
54,2004-01-14 00:00:00,1.2766,1.2791000000000001,1.2731,1.2737,1613,40,0
55,2004-01-14 04:00:00,1.2742,1.2748,1.2718,1.2724,1610,40,0
56,2004-01-14 08:00:00,1.2727,1.2744,1.2649,1.2664,2207,40,0
57,2004-01-14 12:00:00,1.2663,1.2702,1.2628,1.2674,2366,40,0
58,2004-01-14 16:00:00,1.2675,1.2734,1.2654,1.2685,2317,40,0
59,2004-01-14 20:00:00,1.2685,1.2690000000000001,1.2641,1.2647,1585,40,0
60,2004-01-15 00:00:00,1.2647,1.267,1.2636,1.2658,1572,40,0
61,2004-01-15 04:00:00,1.2659,1.2674,1.2644,1.2665,1507,40,0
62,2004-01-15 08:00:00,1.2664,1.2673,1.2605,1.2657,2255,40,0
63,2004-01-15 12:00:00,1.2656,1.2658,1.2599,1.2615,2135,40,0
64,2004-01-15 16:00:00,1.2614,1.2629000000000001,1.2568,1.2572999999999999,2237,40,0
65,2004-01-15 20:00:00,1.2572,1.2596,1.256,1.2591,1842,40,0
66,2004-01-16 00:00:00,1.2591,1.2610999999999999,1.2582,1.2593,1619,40,0
67,2004-01-16 04:00:00,1.2591999999999999,1.2601,1.2575,1.2591,1393,40,0
68,2004-01-16 08:00:00,1.259,1.2591999999999999,1.2484,1.2511,2347,40,0
69,2004-01-16 12:00:00,1.2511999999999999,1.2518,1.2412,1.2434,2321,40,0
70,2004-01-16 16:00:00,1.2435,1.2447,1.2351,1.2374,2334,40,0
71,2004-01-16 20:00:00,1.2373,1.2405,1.2364,1.2395,1383,40,0
72,2004-01-19 00:00:00,1.2383,1.2405,1.2361,1.2372,1688,40,0
73,2004-01-19 04:00:00,1.237,1.2412,1.2365,1.2408,1589,40,0
74,2004-01-19 08:00:00,1.2409,1.2427,1.2333,1.2367,2144,40,0
75,2004-01-19 12:00:00,1.2368000000000001,1.2415,1.2349999999999999,1.2376,2025,40,0
76,2004-01-19 16:00:00,1.2377,1.2389999999999999,1.2351,1.2365,1872,40,0
77,2004-01-19 20:00:00,1.2362,1.2368999999999999,1.2345,1.236,1278,40,0
78,2004-01-20 00:00:00,1.2356,1.2385,1.2345,1.2368000000000001,1510,40,0
79,2004-01-20 04:00:00,1.237,1.2404,1.2366,1.2389000000000001,1659,40,0
80,2004-01-20 08:00:00,1.2389000000000001,1.2494,1.2382,1.2443,2238,40,0
81,2004-01-20 12:00:00,1.2442,1.2547,1.2433,1.2535,2306,40,0
82,2004-01-20 16:00:00,1.2534,1.2599,1.2530000000000001,1.2576,2106,40,0
83,2004-01-20 20:00:00,1.2576,1.2601,1.2561,1.2599,1586,40,0
84,2004-01-21 00:00:00,1.2601,1.2602,1.2562,1.2570000000000001,1584,40,0
85,2004-01-21 04:00:00,1.2569,1.2631000000000001,1.2548,1.2608,1801,40,0
86,2004-01-21 08:00:00,1.2608,1.2675,1.2583,1.263,2262,40,0
87,2004-01-21 12:00:00,1.2629000000000001,1.2642,1.2576,1.2583,2335,40,0
88,2004-01-21 16:00:00,1.2585,1.2655,1.2576,1.2642,2107,40,0
89,2004-01-21 20:00:00,1.2641,1.2652999999999999,1.2621,1.2639,1582,40,0
90,2004-01-22 00:00:00,1.2643,1.2685,1.2637,1.2666,1361,40,0
91,2004-01-22 04:00:00,1.2665,1.2686,1.2657,1.2671000000000001,1452,40,0
92,2004-01-22 08:00:00,1.2671999999999999,1.2752,1.2633,1.2736,2324,40,0
93,2004-01-22 12:00:00,1.2737,1.2742,1.2659,1.2695,2345,40,0
94,2004-01-22 16:00:00,1.2690000000000001,1.2726,1.2675,1.2708,2109,40,0
95,2004-01-22 20:00:00,1.2706,1.2742,1.2698,1.2730000000000001,1616,40,0
96,2004-01-23 00:00:00,1.2731,1.2738,1.2703,1.2719,1422,40,0
97,2004-01-23 04:00:00,1.2717,1.2728,1.27,1.2725,1458,40,0
98,2004-01-23 08:00:00,1.2723,1.2779,1.2711000000000001,1.2761,2195,40,0
99,2004-01-23 12:00:00,1.2761,1.2766,1.2661,1.2692999999999999,2348,40,0
100,2004-01-23 16:00:00,1.2695,1.2704,1.2562,1.2587,2245,40,0
101,2004-01-23 20:00:00,1.2587,1.2605,1.2576,1.2586,1227,40,0
102,2004-01-26 00:00:00,1.258,1.2595,1.2561,1.2577,1418,40,0
