,time,open,high,low,close,tick_volume,spread,real_volume
0,2004-01-01,191.23,191.98,190.91,191.38,5461,100,0
1,2004-01-02,191.11,192.38,190.27,192.26,13773,100,0
2,2004-01-05,192.03,192.73,190.99,191.98,14295,100,0
3,2004-01-06,192.06,194.24,191.61,193.4,14105,100,0
4,2004-01-07,193.35,194.0,192.39,193.06,13103,100,0
5,2004-01-08,193.05,194.97,192.16,194.8,14723,100,0
6,2004-01-09,194.84,198.23,194.47,197.64,16295,100,0
7,2004-01-12,196.97,197.85,196.4,196.85,13897,100,0
8,2004-01-13,196.87,197.22,195.52,196.37,14693,100,0
9,2004-01-14,196.44,196.47,194.45,194.69,14925,100,0
10,2004-01-15,194.65,195.08,192.86,193.91,17348,100,0
11,2004-01-16,193.89,194.13,191.36,191.82,15766,100,0
12,2004-01-19,191.76,192.61,191.04,191.43,13690,100,0
13,2004-01-20,191.43,195.49,191.12,194.63,15881,100,0
14,2004-01-21,194.64,196.18,194.44,195.76,15970,100,0
15,2004-01-22,195.82,196.61,195.14,195.81,16960,100,0
16,2004-01-23,195.83,196.23,192.91,195.14,16512,100,0
17,2004-01-26,194.36,194.71,192.26,192.81,17027,100,0
18,2004-01-27,192.82,193.34,190.91,193.09,17776,100,0
19,2004-01-28,193.12,194.42,192.25,192.66,18734,100,0
20,2004-01-29,192.76,193.77,191.84,192.48,17330,100,0
21,2004-01-30,192.58,193.31,191.06,192.22,16773,100,0
22,2004-02-02,192.93,193.03,191.51,192.37,16264,100,0
23,2004-02-03,192.39,194.61,192.0,193.94,16411,100,0
24,2004-02-04,193.95,194.1,192.94,193.13,17152,100,0
25,2004-02-05,193.12,194.45,192.96,194.08,17233,100,0
26,2004-02-06,194.08,196.18,193.83,195.23,17197,100,0
27,2004-02-09,195.16,196.99,194.77,196.66,16400,100,0
28,2004-02-10,196.77,197.81,196.5,197.3,17317,100,0
29,2004-02-11,197.28,199.59,196.87,199.45,16578,100,0
30,2004-02-12,199.47,199.92,198.95,199.54,14885,100,0
31,2004-02-13,199.56,200.1,198.3,198.7,16173,100,0
32,2004-02-16,198.73,199.56,198.14,199.22,11683,100,0
33,2004-02-17,199.2,201.9,199.11,201.29,14808,100,0
34,2004-02-18,201.24,202.75,201.0,201.72,16160,100,0
35,2004-02-19,201.7,203.36,201.05,202.92,17625,100,0
36,2004-02-20,202.92,203.89,202.23,203.3,17389,100,0
37,2004-02-23,202.69,202.74,200.77,202.35,17511,100,0
38,2004-02-24,202.37,204.8,202.06,204.62,16209,100,0
39,2004-02-25,204.57,205.92,203.68,203.91,16220,100,0
40,2004-02-26,203.93,204.67,203.46,203.97,17677,100,0
41,2004-02-27,203.95,204.28,201.32,204.08,16532,100,0
42,2004-03-01,203.63,204.99,203.14,203.8,16034,100,0
43,2004-03-02,203.82,204.22,202.04,202.5,15928,100,0
