,time,open,high,low,close,tick_volume,spread,real_volume
0,2004-01-01,1.7858,1.7862,1.7812999999999999,1.7839,406,50,0
1,2004-01-02,1.784,1.7952,1.7786,1.7932000000000001,9605,50,0
2,2004-01-05,1.7934999999999999,1.8106,1.7932000000000001,1.8068,10907,50,0
3,2004-01-06,1.8064,1.8281,1.8048,1.821,11097,50,0
4,2004-01-07,1.8207,1.8262,1.812,1.8172000000000001,11198,50,0
5,2004-01-08,1.8173,1.8363,1.8105,1.8346,11807,50,0
6,2004-01-09,1.8353000000000002,1.8502,1.8279,1.8481,11391,50,0
7,2004-01-12,1.8472,1.8584,1.8449,1.8464,10689,50,0
8,2004-01-13,1.846,1.8540999999999999,1.8397999999999999,1.8477000000000001,11669,50,0
9,2004-01-14,1.8477000000000001,1.8491,1.831,1.8317,11909,50,0
10,2004-01-15,1.8317999999999999,1.8352,1.8176999999999999,1.8244,11896,50,0
11,2004-01-16,1.8249,1.827,1.7930000000000001,1.7985,11670,50,0
12,2004-01-19,1.7981,1.8022,1.7824,1.7843,10219,50,0
13,2004-01-20,1.7842,1.8222,1.7824,1.8216,11553,50,0
14,2004-01-21,1.8215,1.8375,1.8147,1.8316,12268,50,0
15,2004-01-22,1.8322,1.8487,1.8312,1.8458,11878,50,0
16,2004-01-23,1.8457,1.8526,1.8169,1.8264,11831,50,0
17,2004-01-26,1.8258,1.8311,1.8107,1.814,12503,50,0
18,2004-01-27,1.8141,1.8296000000000001,1.8018,1.8281,12856,50,0
19,2004-01-28,1.8279999999999998,1.8386,1.8121,1.8136,13699,50,0
20,2004-01-29,1.8138,1.8271,1.8084,1.8168,13105,50,0
21,2004-01-30,1.817,1.8265,1.8056999999999999,1.8247,12933,50,0
22,2004-02-02,1.8243,1.8275000000000001,1.8136999999999999,1.8222,11610,50,0
23,2004-02-03,1.8224,1.8427,1.819,1.8385,12540,50,0
24,2004-02-04,1.8387,1.8401999999999998,1.8283,1.8319,12276,50,0
25,2004-02-05,1.8319,1.8428,1.83,1.8345,12216,50,0
26,2004-02-06,1.8344,1.8519,1.8317999999999999,1.8471,12322,50,0
27,2004-02-09,1.8428,1.8631,1.8415,1.8605,12961,50,0
28,2004-02-10,1.8609,1.8738000000000001,1.8580999999999999,1.8679999999999999,12171,50,0
29,2004-02-11,1.8679000000000001,1.8941,1.8645,1.8933,12431,50,0
30,2004-02-12,1.8931,1.8958,1.8879000000000001,1.8942,11953,50,0
31,2004-02-13,1.8942,1.899,1.8786,1.885,11796,50,0
32,2004-02-16,1.8843,1.8921999999999999,1.8811,1.889,10193,50,0
33,2004-02-17,1.889,1.9085,1.8869,1.9051,10949,50,0
34,2004-02-18,1.905,1.9143,1.8837000000000002,1.8912,11675,50,0
35,2004-02-19,1.8911,1.8981,1.8864,1.8965999999999998,12635,50,0
36,2004-02-20,1.8965999999999998,1.9,1.8563,1.8620999999999999,12334,50,0
37,2004-02-23,1.8608,1.8708,1.8455,1.8686,12681,50,0
38,2004-02-24,1.8686,1.8942,1.8622999999999998,1.8902,11686,50,0
39,2004-02-25,1.8902999999999999,1.8948,1.8692,1.8714,12533,50,0
40,2004-02-26,1.8716,1.8780999999999999,1.8549,1.8624,12228,50,0
41,2004-02-27,1.8622999999999998,1.8692,1.8467,1.8679999999999999,12013,50,0
42,2004-03-01,1.8672,1.8752,1.8641999999999999,1.8699,12021,50,0
43,2004-03-02,1.87,1.87,1.8346,1.8397999999999999,12158,50,0
44,2004-03-03,1.8397999999999999,1.8409,1.8155000000000001,1.8298999999999999,13413,50,0
45,2004-03-04,1.8304,1.8378,1.8197999999999999,1.8211,13181,50,0
46,2004-03-05,1.8216,1.8500999999999999,1.8171,1.8462,12237,50,0
47,2004-03-08,1.8466,1.8546,1.842,1.8494000000000002,11782,50,0
48,2004-03-09,1.8494000000000002,1.8589,1.822,1.8246,12965,50,0
49,2004-03-10,1.8244,1.8286,1.7961,1.8024,13187,50,0
50,2004-03-11,1.8027,1.8155999999999999,1.7930000000000001,1.8096999999999999,13660,50,0
51,2004-03-12,1.8096,1.8115,1.7906,1.8034,12645,50,0
52,2004-03-15,1.7997999999999998,1.812,1.7941,1.804,12055,50,0
53,2004-03-16,1.8041,1.8199999999999998,1.8002,1.8128,11848,50,0
54,2004-03-17,1.8125,1.8184,1.8067,1.8163,11959,50,0
55,2004-03-18,1.8162,1.8407,1.8155999999999999,1.8359,12911,50,0
56,2004-03-19,1.8359,1.8372000000000002,1.8254000000000001,1.8335,11748,50,0
57,2004-03-22,1.8333,1.8502,1.8263,1.8477000000000001,11835,50,0
58,2004-03-23,1.8481,1.8540999999999999,1.8406,1.8537,11287,50,0
59,2004-03-24,1.8533,1.8542,1.8222,1.8239,12260,50,0
60,2004-03-25,1.8237999999999999,1.8263,1.7989000000000002,1.8058,12587,50,0
61,2004-03-26,1.8058,1.8237,1.8004,1.8161,11621,50,0
62,2004-03-29,1.8135,1.8228,1.8056999999999999,1.8192,11920,50,0
63,2004-03-30,1.8191000000000002,1.8304,1.8183,1.8268,11951,50,0
64,2004-03-31,1.8272,1.8464,1.8248,1.8462,12393,50,0
65,2004-04-01,1.8463,1.8608,1.8382,1.857,12131,50,0
66,2004-04-02,1.8572,1.8578000000000001,1.8256000000000001,1.8293,11990,50,0
67,2004-04-05,1.8288,1.8308,1.8107,1.8226,11652,50,0
68,2004-04-06,1.8225,1.8448,1.8195000000000001,1.8443,12294,50,0
69,2004-04-07,1.8441999999999998,1.8446,1.8336000000000001,1.8401,11599,50,0
70,2004-04-08,1.8401,1.8469,1.8281,1.833,11400,50,0
71,2004-04-09,1.8329,1.8349,1.8296000000000001,1.8333,6386,50,0
72,2004-04-12,1.8335,1.8411,1.8307,1.8393000000000002,9919,50,0
73,2004-04-13,1.8393000000000002,1.8427,1.8128,1.8189,14745,50,0
74,2004-04-14,1.8183,1.8191000000000002,1.7847,1.7904,15302,50,0
75,2004-04-15,1.7898,1.7997999999999998,1.7762,1.7919,16310,50,0
76,2004-04-16,1.7917,1.8063,1.7837,1.7983,15826,50,0
77,2004-04-19,1.7976,1.8146,1.7974,1.8068,10726,50,0
78,2004-04-20,1.807,1.8079,1.7842,1.7846,12019,50,0
79,2004-04-21,1.7845,1.7854999999999999,1.7657,1.7739,12198,50,0
80,2004-04-22,1.7738,1.7770000000000001,1.7614999999999998,1.7759,12153,50,0
81,2004-04-23,1.776,1.7818,1.7642,1.7722,11532,50,0
82,2004-04-26,1.7713999999999999,1.7898,1.7664,1.787,11244,50,0
83,2004-04-27,1.787,1.7944,1.7816999999999998,1.7919,11150,50,0
84,2004-04-28,1.7921,1.7974,1.7701,1.7723,12551,50,0
85,2004-04-29,1.7727,1.7816999999999998,1.7579,1.774,14819,50,0
86,2004-04-30,1.7734999999999999,1.7811,1.7659,1.7788,14133,50,0
87,2004-05-03,1.7795,1.7802,1.7687,1.7723,13169,50,0
88,2004-05-04,1.7715999999999998,1.7997999999999998,1.7704,1.7967,14500,50,0
89,2004-05-05,1.7967,1.8022,1.7873,1.7902,15035,50,0
90,2004-05-06,1.7904,1.7988,1.7875,1.794,14655,50,0
91,2004-05-07,1.7936999999999999,1.8044,1.7822,1.7879,15443,50,0
92,2004-05-10,1.7859,1.7877,1.7702,1.7742,14334,50,0
93,2004-05-11,1.774,1.7778,1.7532999999999999,1.756,14150,50,0
94,2004-05-12,1.7568000000000001,1.7806,1.7559,1.7732,15136,50,0
95,2004-05-13,1.7727,1.7752,1.7572,1.7614999999999998,15396,50,0
96,2004-05-14,1.7614,1.7651,1.748,1.7612999999999999,14355,50,0
97,2004-05-17,1.7606000000000002,1.775,1.7570999999999999,1.7692999999999999,14500,50,0
98,2004-05-18,1.7692,1.7719,1.7612,1.7673,15026,50,0
99,2004-05-19,1.7673999999999999,1.7861,1.7629000000000001,1.7850000000000001,14854,50,0
100,2004-05-20,1.7850000000000001,1.7850000000000001,1.7635999999999998,1.7776999999999998,15155,50,0
101,2004-05-21,1.7774999999999999,1.7961,1.7732,1.7883,14645,50,0
102,2004-05-24,1.788,1.794,1.7821,1.7903,14607,50,0
103,2004-05-25,1.7894,1.8151000000000002,1.7888,1.8107,14562,50,0
104,2004-05-26,1.8107,1.8205,1.8091,1.8147,14562,50,0
105,2004-05-27,1.8142,1.8404,1.81,1.8375,14865,50,0
106,2004-05-28,1.8374000000000001,1.8427,1.8293,1.8322,14385,50,0
107,2004-05-31,1.8348,1.8376000000000001,1.8296000000000001,1.8333,12267,50,0
108,2004-06-01,1.8328,1.8418,1.8276,1.8403,14837,50,0
109,2004-06-02,1.8397000000000001,1.8492,1.8304,1.8329,14419,50,0
110,2004-06-03,1.8329,1.8436,1.8284,1.8401999999999998,14808,50,0
111,2004-06-04,1.8408,1.8456000000000001,1.8316,1.841,13868,50,0
112,2004-06-07,1.8413,1.8481999999999998,1.8347,1.8413,14524,50,0
113,2004-06-08,1.8408,1.8460999999999999,1.8324,1.8375,13733,50,0
114,2004-06-09,1.8369,1.8422,1.8247,1.8274,15680,50,0
115,2004-06-10,1.8279,1.8448,1.8188,1.8420999999999998,15211,50,0
116,2004-06-11,1.8420999999999998,1.843,1.8159999999999998,1.8195000000000001,13843,50,0
117,2004-06-14,1.8165,1.8194,1.8042,1.8138,14353,50,0
118,2004-06-15,1.8136999999999999,1.8338,1.8104,1.8335,14387,50,0
119,2004-06-16,1.8336000000000001,1.8355000000000001,1.8231000000000002,1.8269,14630,50,0
120,2004-06-17,1.827,1.8391,1.8239999999999998,1.835,15073,50,0
