,time,open,high,low,close,tick_volume,spread,real_volume
0,2004-01-01,107.23,107.5,107.18,107.29,935,40,0
1,2004-01-02,107.32,107.53,106.77,106.98,8080,40,0
2,2004-01-05,107.01,107.38,106.01,106.27,9694,40,0
3,2004-01-06,106.32,106.44,105.87,106.21,9450,40,0
4,2004-01-07,106.19,106.46,105.91,106.23,9131,40,0
5,2004-01-08,106.2,106.3,106.06,106.18,8081,40,0
6,2004-01-09,106.21,108.3,106.14,106.67,10937,40,0
7,2004-01-12,106.64,106.79,106.33,106.64,9259,40,0
8,2004-01-13,106.65,106.7,106.11,106.3,9771,40,0
9,2004-01-14,106.28,106.36,105.95,106.3,9900,40,0
10,2004-01-15,106.29,106.55,105.97,106.29,10215,40,0
11,2004-01-16,106.29,107.04,105.71,106.73,10279,40,0
12,2004-01-19,106.68,107.55,106.39,107.3,10019,40,0
13,2004-01-20,107.31,107.94,106.82,106.86,11439,40,0
14,2004-01-21,106.87,107.33,106.58,106.89,10666,40,0
15,2004-01-22,106.88,107.04,105.93,106.09,11106,40,0
16,2004-01-23,106.11,106.85,105.7,106.81,10308,40,0
17,2004-01-26,106.46,106.75,105.76,106.31,11180,40,0
18,2004-01-27,106.28,106.44,105.46,105.64,10867,40,0
19,2004-01-28,105.65,106.64,105.48,106.21,11324,40,0
20,2004-01-29,106.26,106.34,105.61,105.95,10917,40,0
21,2004-01-30,105.95,106.17,105.55,105.78,10525,40,0
22,2004-02-02,105.74,105.81,105.36,105.56,9300,40,0
23,2004-02-03,105.56,105.87,105.23,105.49,10494,40,0
24,2004-02-04,105.49,105.68,105.28,105.46,10631,40,0
25,2004-02-05,105.41,106.08,105.36,105.78,10594,40,0
26,2004-02-06,105.81,106.82,105.37,105.52,11120,40,0
27,2004-02-09,105.89,105.93,105.5,105.73,10495,40,0
28,2004-02-10,105.75,105.93,105.31,105.63,10357,40,0
29,2004-02-11,105.61,105.75,105.15,105.36,10296,40,0
30,2004-02-12,105.37,105.57,105.26,105.35,9802,40,0
31,2004-02-13,105.35,105.63,105.26,105.35,8716,40,0
32,2004-02-16,105.47,105.57,105.32,105.45,7844,40,0
33,2004-02-17,105.46,106.03,105.37,105.65,8854,40,0
34,2004-02-18,105.65,107.16,105.51,106.67,10104,40,0
35,2004-02-19,106.67,107.44,106.29,107.0,11068,40,0
36,2004-02-20,106.99,109.36,106.86,109.01,11052,40,0
37,2004-02-23,108.92,109.4,108.08,108.29,10629,40,0
38,2004-02-24,108.28,108.77,108.02,108.22,9429,40,0
39,2004-02-25,108.21,109.17,108.0,108.99,10116,40,0
40,2004-02-26,108.98,109.86,108.76,109.52,10718,40,0
41,2004-02-27,109.56,109.72,108.86,109.35,10132,40,0
42,2004-03-01,109.07,109.46,108.83,109.0,9502,40,0
43,2004-03-02,109.0,110.44,108.9,110.05,10045,40,0
44,2004-03-03,110.05,110.54,109.97,110.04,11374,40,0
